pontoId	lat	lon	lat_pred	lon_pred	erro_loc
2581	-8.064805	-34.885067	-8.06472549677	-34.8851269036	11.0293779044
1656	-8.06942	-34.891144	-8.06962750045	-34.8911155194	23.285076899
2637	-8.064176	-34.889271	-8.06428193168	-34.8892295665	12.6315055117
2835	-8.062466	-34.887657	-8.06241041426	-34.8879056531	28.0647603244
454	-8.075194	-34.90012	-8.07532694169	-34.9000637066	16.0290141429
991	-8.072363	-34.89642	-8.07247400854	-34.8964037067	12.4732427805
1747	-8.069201	-34.895596	-8.06912911194	-34.8956008744	8.01158120574
529	-8.074546	-34.890156	-8.07434720352	-34.8905490533	48.5914188768
2141	-8.067605	-34.893211	-8.06759661049	-34.8932825517	7.9324840919
1416	-8.07006	-34.89397	-8.07008850216	-34.8935550017	45.7985236402
1601	-8.069568	-34.890842	-8.06956349273	-34.890860734	2.12251659298
1570	-8.069642	-34.894775	-8.06963553918	-34.894749808	2.86501756083
1086	-8.071735	-34.897202	-8.07181345411	-34.8972358389	9.48587503279
867	-8.072678	-34.896694	-8.07269426885	-34.8966727454	2.95770785157
736	-8.073222	-34.896523	-8.07319999095	-34.8964715711	6.16822331161
2932	-8.060418	-34.905537	-8.06037483952	-34.9055641686	5.65505691379
29	-8.077478	-34.899029	-8.0774920715	-34.8991309747	11.3350821595
982	-8.072403	-34.893414	-8.07245954316	-34.8932041784	23.9402646991
1977	-8.06858	-34.897083	-8.06856608193	-34.8966822534	44.147003546
1502	-8.069831	-34.896339	-8.06985721248	-34.8963504484	3.17553866939
971	-8.072422	-34.893848	-8.07267317251	-34.8934051311	56.1895147238
66	-8.077325	-34.898479	-8.07729425531	-34.8985978116	13.5195536143
1257	-8.070695	-34.891754	-8.07098581508	-34.8921991909	58.7190925169
565	-8.074368	-34.890247	-8.07411968733	-34.8902605892	27.6516107764
2094	-8.06803	-34.896683	-8.06798466554	-34.8967095687	5.82814424881
2171	-8.067201	-34.89677	-8.067179379	-34.8967270956	5.30016724636
366	-8.075634	-34.89344	-8.07504196257	-34.8948428008	167.88321987
964	-8.072451	-34.896317	-8.07251183605	-34.8963280407	6.87299634085
1091	-8.071689	-34.89719	-8.07179778713	-34.8972318427	12.9440329286
2146	-8.067538	-34.892319	-8.06756067556	-34.892453569	15.0283241954
1519	-8.069776	-34.897877	-8.06976258665	-34.8978415245	4.18073616204
2572	-8.06489	-34.893192	-8.06511678334	-34.8931716022	25.3169539673
2428	-8.065797	-34.890648	-8.06567394067	-34.891134306	55.260790706
374	-8.075582	-34.896252	-8.07563066603	-34.8962121124	6.96901104123
296	-8.076035	-34.894558	-8.0760187608	-34.8947893342	25.5320155057
2051	-8.06833	-34.889885	-8.06840568565	-34.8898042437	12.2422655878
945	-8.072493	-34.89246	-8.07253947751	-34.8925038145	7.06941898703
188	-8.076449	-34.89603	-8.07639705964	-34.8959164854	13.7670912683
160	-8.076634	-34.899639	-8.07638125065	-34.8997536863	30.810338697
839	-8.072803	-34.895966	-8.07297122178	-34.8957230847	32.63579662
1784	-8.06909	-34.891289	-8.06878038679	-34.8910802648	41.3926456292
809	-8.07292	-34.89584	-8.07280306414	-34.8958698296	13.410980846
2931	-8.060486	-34.90546	-8.06037483952	-34.9055641686	16.861497937
1612	-8.069547	-34.890797	-8.06959300611	-34.8907817682	5.3834854268
713	-8.07337	-34.890579	-8.07324420681	-34.8905747202	13.995498307
980	-8.072404	-34.900688	-8.07260073109	-34.9002838868	49.5772629898
691	-8.0736	-34.897755	-8.07357516243	-34.8977117933	5.5003861468
2038	-8.068407	-34.899208	-8.0686738806	-34.8991649963	30.0510613335
1556	-8.069677	-34.896381	-8.06967966838	-34.8963621239	2.09921393679
385	-8.075521	-34.900009	-8.07525998497	-34.9001060924	30.9293336562
512	-8.074667	-34.900291	-8.07458160668	-34.900254494	10.3108439426
2930	-8.060549	-34.905396	-8.06061688299	-34.9053207878	11.204651375
754	-8.073175	-34.896347	-8.07323796344	-34.8963330524	7.16762675168
1153	-8.071205	-34.891846	-8.07107240515	-34.8918960992	15.741781255
71	-8.077293	-34.898491	-8.07729425531	-34.8985978116	11.7599083079
5	-8.077547	-34.899319	-8.0774053846	-34.8993719492	16.791240024
702	-8.073483	-34.890526	-8.07337843423	-34.8905271692	11.6278957267
1283	-8.070611	-34.896862	-8.07048751012	-34.8969267464	15.4713735596
2573	-8.06489	-34.889542	-8.06533595319	-34.8894120524	51.6102894395
1163	-8.071126	-34.895706	-8.07084432857	-34.8959859423	43.9412334472
1098	-8.071628	-34.90078	-8.07188192181	-34.9015756304	92.0317462539
2618	-8.064385	-34.893536	-8.06494507858	-34.8933978416	64.1084884129
1006	-8.072277	-34.892097	-8.07212357649	-34.8922295865	22.4523819099
1437	-8.07	-34.896221	-8.06980061606	-34.8966401701	51.1973764589
155	-8.076687	-34.899635	-8.07663296221	-34.8996598461	6.60204311389
331	-8.075845	-34.89991	-8.07585375585	-34.8998907575	2.33146295239
111	-8.077021	-34.899487	-8.07700579581	-34.8995019107	2.35646171861
156	-8.076658	-34.896492	-8.07646496971	-34.8961592776	42.4554475105
769	-8.073114	-34.896576	-8.07310693611	-34.8965541249	2.53314674816
1112	-8.071496	-34.892082	-8.07146815074	-34.8921699779	10.1687769555
1764	-8.069143	-34.895725	-8.06921858762	-34.8955936326	16.7276650337
746	-8.073198	-34.896347	-8.0731947738	-34.8963721212	2.78883178937
663	-8.073782	-34.898426	-8.07371312724	-34.8985418512	14.8769516919
369	-8.075608	-34.899971	-8.07521698964	-34.8996648732	55.0109734506
2940	-8.059848	-34.9062	-8.06008056574	-34.905921683	40.0956633628
173	-8.076538	-34.899693	-8.07638125065	-34.8997536863	18.666344479
315	-8.075927	-34.894352	-8.07593765851	-34.8944871223	14.923042261
1901	-8.068757	-34.891052	-8.06878096835	-34.8910923165	5.17728898189
1566	-8.069649	-34.889477	-8.0693731837	-34.8896160248	34.2764884437
1013	-8.072243	-34.9007	-8.0722166724	-34.9006970992	2.94486302925
510	-8.074674	-34.900249	-8.07458160668	-34.900254494	10.291458125
187	-8.076449	-34.899715	-8.07646196934	-34.8997329134	2.44315027928
1924	-8.068697	-34.89629	-8.06867547482	-34.8959256642	40.182594951
1528	-8.069753	-34.894581	-8.070069238	-34.8941392999	60.0103118023
1161	-8.071136	-34.89183	-8.07107240515	-34.8918960992	10.1469780366
1978	-8.068579	-34.896923	-8.06878753766	-34.895979154	106.467777322
2139	-8.067629	-34.896717	-8.06744519382	-34.8966427393	22.0128747827
2767	-8.063335	-34.888771	-8.06351024775	-34.888781949	19.5239083958
667	-8.07377	-34.898369	-8.07370891313	-34.8984294923	9.51268335663
47	-8.077387	-34.898655	-8.07731459622	-34.898656852	8.05351399851
2011	-8.068503	-34.897327	-8.06852358502	-34.8967692929	61.4429639722
193	-8.076433	-34.895676	-8.07608583616	-34.8954498274	45.9367122661
1729	-8.069237	-34.888077	-8.06888207907	-34.8884816883	59.5193835592
283	-8.0761	-34.899815	-8.07609110255	-34.8998211176	1.19683790791
1548	-8.069694	-34.895878	-8.06975056503	-34.8961564343	31.29254077
1088	-8.071707	-34.890694	-8.07175356157	-34.8907534382	8.3442373115
1927	-8.068686	-34.898205	-8.06865827067	-34.8980066469	22.0541210324
2503	-8.065443	-34.889519	-8.06543861214	-34.8895296557	1.27055092119
2812	-8.062816	-34.897289	-8.06346983978	-34.897179105	73.7035143643
823	-8.072875	-34.895401	-8.07288830597	-34.8953405283	6.8199342614
2155	-8.067385	-34.896763	-8.06728860221	-34.8967959979	11.317848149
1143	-8.07126	-34.892025	-8.07119124398	-34.8920870809	10.2549502128
2080	-8.068105	-34.890297	-8.06816131675	-34.89038015	11.0912688729
2454	-8.065776	-34.89241	-8.06588015227	-34.8924196497	11.6298293804
1305	-8.070541	-34.896671	-8.07049328482	-34.8967830255	13.4261126081
536	-8.074516	-34.893684	-8.07133193	-34.8931401297	359.079790875
2133	-8.067716	-34.896721	-8.06788086685	-34.8966816897	18.8362830464
1297	-8.07056	-34.893028	-8.07024591652	-34.8935652101	68.685274347
729	-8.073235	-34.896446	-8.07321085266	-34.8964528766	2.78975072312
1610	-8.069549	-34.895035	-8.06955979299	-34.8949778066	6.40999128915
1757	-8.069173	-34.88818	-8.06936495699	-34.8881980192	21.4366339087
1603	-8.069566	-34.890701	-8.06974812486	-34.8907215682	20.3775684025
2811	-8.062819	-34.897289	-8.06338670428	-34.8966957059	90.8375387393
108	-8.077034	-34.899506	-8.07706783329	-34.8994845715	4.44057663674
1049	-8.072007	-34.89716	-8.07205780393	-34.8967561042	44.8236055905
1078	-8.071801	-34.892166	-8.07101512111	-34.8934950752	170.430399798
408	-8.075452	-34.896286	-8.07544682822	-34.8962712252	1.72525443851
