pontoId,lat,lon,lat_pred,lon_pred,erro_loc
2235,-8.0668919999999993,-34.901015999999998,-8.068627504845066,-34.9016178480459,204.03780199645433
1561,-8.0696589999999997,-34.894741000000003,-8.069207957886562,-34.89404574570675,91.51097529213214
2436,-8.0657940000000004,-34.890148000000003,-8.06439506322544,-34.8886452900764,227.0858788554892
2952,-8.0593439999999994,-34.906821999999998,-8.06747028605079,-34.90237703738769,1027.6088499004682
1544,-8.069706,-34.894641999999997,-8.069603687913371,-34.894538832815016,16.075838801750834
2177,-8.0671680000000006,-34.894035000000002,-8.066245433586547,-34.89474090596653,128.69916921632415
2571,-8.0648970000000002,-34.885162000000001,-8.068159880050702,-34.88712131390884,422.097276337258
10,-8.0775400000000008,-34.899231,-8.077062581195802,-34.89827125545665,118.24643532470456
2488,-8.0655640000000002,-34.896988,-8.065188697963045,-34.897016379780226,41.848484515417866
1700,-8.0693020000000004,-34.895457999999998,-8.067936211669013,-34.896300677712034,177.96378755106394
1779,-8.0691140000000008,-34.888294000000002,-8.068511418630548,-34.887258450139306,132.23973533377028
1822,-8.0689709999999994,-34.895992,-8.068788248637135,-34.8980517016738,227.66971160692117
1894,-8.0687809999999995,-34.897381000000003,-8.068761503359317,-34.89714576804364,25.988239491337605
678,-8.0737220000000001,-34.89817,-8.074432055538564,-34.899939256183494,210.17591730682486
2544,-8.0650849999999998,-34.885742,-8.066588484210365,-34.88616914965114,173.66816291810488
618,-8.0741130000000005,-34.899718999999997,-8.074123524741633,-34.899907404641624,20.774959693673047
902,-8.0725770000000008,-34.891517999999998,-8.072355879134786,-34.890908447654475,71.47003281445414
1483,-8.0698840000000001,-34.900813999999997,-8.070828288608439,-34.901095952520315,109.4923622187167
1818,-8.0689770000000003,-34.897396000000001,-8.068899636100904,-34.897045948181386,39.48707285118958
900,-8.0725820000000006,-34.891402999999997,-8.072692473898508,-34.89200891202522,67.82836042821886
392,-8.0754970000000004,-34.893036000000002,-8.076036982068754,-34.89354664207359,82.25342612073577
1011,-8.0722609999999992,-34.892288000000001,-8.072453164424322,-34.89132452591443,108.20271333146081
1994,-8.0685610000000008,-34.896571999999999,-8.068470802459634,-34.895575103571765,110.20982575277925
804,-8.0729290000000002,-34.896628999999997,-8.073772492668233,-34.89702886501046,103.60946490102653
106,-8.0770579999999992,-34.899470999999998,-8.07676892914288,-34.89842394941489,119.66943727506764
342,-8.0757879999999993,-34.893932,-8.074585464521476,-34.89219028152781,233.76904265688822
27,-8.0774810000000006,-34.899341999999997,-8.076215241433099,-34.89882737271772,151.7213057915826
780,-8.073048,-34.890639999999998,-8.07268317403148,-34.89034890581731,51.69819321473901
777,-8.0730609999999992,-34.896591000000001,-8.072458146343667,-34.89663849172849,67.23786436893633
